SA22019_V1_00,SA22019_V1_00_NAME,TA2019_V1_00,TA2019_V1_00_NAME,REGC2019_V1_00,REGC2019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length
100100,North Cape,001,Far North District,01,Northland Region,826.76815577,826.76815577,415721.087309
100200,Rangaunu Harbour,001,Far North District,01,Northland Region,272.07500876,272.07500876,148978.672376
100300,Inlets Far North District,001,Far North District,01,Northland Region,0,626.09638124,1359251.39063
100400,Karikari Peninsula,001,Far North District,01,Northland Region,174.1880925,174.1880925,140012.367682
100500,Tangonge,001,Far North District,01,Northland Region,177.2085017,177.2085017,101212.244196
103200,Ohaeawai-Waimate North,001,Far North District,01,Northland Region,87.38799783,87.38799783,51204.7848904
103800,Russell,001,Far North District,01,Northland Region,3.27930242,3.27930242,12449.1260627
104000,Mataraua Forest,001,Far North District,01,Northland Region,272.9270469,272.9270469,101486.969773
104100,Matawaia-Taumarere,001,Far North District,01,Northland Region,410.65742458,410.65742458,174828.377211
104200,Russell Peninsula,001,Far North District,01,Northland Region,26.18756605,26.18756605,76029.5744775
104300,Opua (Far North District),001,Far North District,01,Northland Region,5.6075292,5.6075292,19773.7259421
104400,Russell Forest-Rawhiti,001,Far North District,01,Northland Region,191.3699955,191.3699955,284707.655551
104700,Maromaku,001,Far North District,01,Northland Region,238.33524518,238.33524518,91911.4583343
104800,Mangakahia-Hukerenui,002,Whangarei District,01,Northland Region,658.52901342,658.52901342,194554.293919
104900,Whangaruru,002,Whangarei District,01,Northland Region,469.34033021,469.34033021,293147.836944
105000,Inlets other Whangarei District,002,Whangarei District,01,Northland Region,0,39.02841125,201394.032089
105100,Matarau,002,Whangarei District,01,Northland Region,108.38424099,108.38424099,84291.0226985
105300,Kauri,002,Whangarei District,01,Northland Region,56.10398788,56.10398788,57795.6965441
105400,Maungatapere,002,Whangarei District,01,Northland Region,174.48592265,174.48592265,93411.1139891
105600,Matapouri-Tutukaka,002,Whangarei District,01,Northland Region,78.48143783,78.48143783,86819.0659392
105700,Kiripaka,002,Whangarei District,01,Northland Region,72.06318734,72.06318734,75974.007766
106000,Kamo Central,002,Whangarei District,01,Northland Region,1.09354447,1.09354447,5205.09244207
106700,Abbey Caves-Glenbervie,002,Whangarei District,01,Northland Region,32.11747652,32.11747652,39042.8917207
106800,Mairtown,002,Whangarei District,01,Northland Region,0.94349562,0.94349562,4979.08073774
107000,Woodhill-Vinetown,002,Whangarei District,01,Northland Region,1.38514518,1.38514518,8040.81155228
107400,Tarewa,002,Whangarei District,01,Northland Region,0.94068456,0.94068456,4788.50654744
107600,Ngunguru,002,Whangarei District,01,Northland Region,3.56520869,3.56520869,17841.8985099
107700,Otaika-Portland,002,Whangarei District,01,Northland Region,41.50956018,41.50956018,60192.8373564
107800,Oakleigh-Mangapai,002,Whangarei District,01,Northland Region,323.77676213,323.77676213,144725.126629
108000,Pataua,002,Whangarei District,01,Northland Region,128.58470963,128.58470963,128995.680924
108100,Onerahi Park,002,Whangarei District,01,Northland Region,1.99946704,1.99946704,8571.44125421
108400,Inlet Whangarei Harbour,002,Whangarei District,01,Northland Region,0,103.01814821,165658.436816
108500,Parua Bay,002,Whangarei District,01,Northland Region,39.09984571,39.09984571,55587.5164206
108600,Bream Bay,002,Whangarei District,01,Northland Region,238.82165955,238.82165955,138835.15602
108900,Bream Head,002,Whangarei District,01,Northland Region,52.18058425,52.18058425,81354.7430918
109000,Waipu,002,Whangarei District,01,Northland Region,136.59511165,136.59511165,76245.3907189
109100,Kaipara Coastal,003,Kaipara District,01,Northland Region,1248.05567088,1248.05567088,320368.633388
109200,Maungaru,003,Kaipara District,01,Northland Region,691.97210274,691.97210274,174259.872317
109900,Mangawhai Heads,003,Kaipara District,01,Northland Region,6.98897326,6.98897326,14769.3600881
110000,Inlet Mangawhai Harbour,003,Kaipara District,01,Northland Region,0,5.86782347,31891.3822549
110200,Okahukura Peninsula,076,Auckland,02,Auckland Region,211.1842049,211.1842049,202718.786763
110300,Inlet Kaipara Harbour South,076,Auckland,02,Auckland Region,0,391.72178452,472167.523074
110400,Cape Rodney,076,Auckland,02,Auckland Region,370.64156777,370.64156777,162766.689591
112300,Helensville Rural,076,Auckland,02,Auckland Region,56.92000174,56.92000174,81615.3313689
112700,Orewa North,076,Auckland,02,Auckland Region,3.0420027,3.0420027,6885.01832392
113000,Orewa Central,076,Auckland,02,Auckland Region,1.4528948,1.4528948,6968.1352105
113200,Waipatukahu,076,Auckland,02,Auckland Region,52.05992298,52.05992298,54632.7700311
114100,Silverdale South (Auckland),076,Auckland,02,Auckland Region,10.18819656,10.18819656,33284.6483537
114300,Gulf Islands,076,Auckland,02,Auckland Region,66.08078555,66.08078555,152786.733034
114400,Vipond,076,Auckland,02,Auckland Region,1.38113819,1.38113819,6351.9968981
114700,Kumeu Rural West,076,Auckland,02,Auckland Region,24.43202628,24.43202628,34286.6506298
114800,Okura Bush,076,Auckland,02,Auckland Region,28.98916806,28.98916806,37449.4344155
115100,Stanmore Bay East,076,Auckland,02,Auckland Region,1.33781836,1.33781836,4882.59035547
115500,Coatesville,076,Auckland,02,Auckland Region,24.36637908,24.36637908,26169.5185133
115600,Dairy Flat South,076,Auckland,02,Auckland Region,15.21710065,15.21710065,19028.179384
